date,min,max,pm25,q1,q3,stdev,count
2023-10-21T00:00:00.000Z,0.1,22.98,0.4,0.2,0.7,2.13,334
2023-10-22T00:00:00.000Z,0.2,592.9,0.9,0.67,6.97,28.164,586
2023-10-23T00:00:00.000Z,0.1,123.9,1.1,0.5,2.6,6.005,589
2023-10-24T00:00:00.000Z,0.1,27.47,0.3,0.2,0.5,1.839,579
2023-10-25T00:00:00.000Z,0,6.85,0.33,0.2,0.9,0.992,587
2023-10-26T00:00:00.000Z,0.03,375.1,0.3,0.2,9.82,28.637,577
2023-10-27T00:00:00.000Z,0.1,877.33,1.97,0.5,19.67,72.605,577
2023-10-28T00:00:00.000Z,0.1,13.2,1.29,0.6,2.6,2.51,590
2023-10-29T00:00:00.000Z,0.1,53.07,1,0.53,2.1,5.298,580
2023-10-30T00:00:00.000Z,0.2,53.43,0.6,0.47,0.98,2.941,586
2023-10-31T00:00:00.000Z,0,7.57,0.3,0.2,0.56,0.459,591
2023-11-01T00:00:00.000Z,0,37.58,0.1,0.1,0.8,2.42,569
2023-11-02T00:00:00.000Z,0.4,20.9,0.8,0.66,1.3,1.025,549
2023-11-03T00:00:00.000Z,0.4,667.5,1.3,0.99,17.64,50.465,584
2023-11-04T00:00:00.000Z,0.52,18.73,2.17,1.1,3.4,3.032,588
2023-11-05T00:00:00.000Z,0.2,16.57,0.73,0.53,0.9,0.928,590
2023-11-06T00:00:00.000Z,0.1,8.33,0.3,0.3,0.6,0.552,577
2023-11-07T00:00:00.000Z,0.13,14.23,0.43,0.4,0.75,1.045,577
2023-11-08T00:00:00.000Z,0.1,237,0.4,0.3,2.2,12.754,581
2023-11-09T00:00:00.000Z,0,2.06,0.3,0.2,0.5,0.349,551
2023-11-10T00:00:00.000Z,0.1,0.87,0.3,0.22,0.4,0.136,573
2023-11-11T00:00:00.000Z,0.1,0.8,0.3,0.2,0.4,0.152,583
2023-11-12T00:00:00.000Z,0.05,271.2,0.55,0.25,2.1,15.513,358
2023-11-13T00:00:00.000Z,0,3.3,0.2,0.1,0.7,0.518,584
2023-11-14T00:00:00.000Z,0.08,0.88,0.23,0.2,0.3,0.132,583
2023-11-15T00:00:00.000Z,0,0.77,0.1,0.1,0.17,0.078,577
2023-11-16T00:00:00.000Z,0,0.5,0.1,0.1,0.13,0.067,587
2023-11-17T00:00:00.000Z,0,9.67,0.1,0.1,0.3,0.478,581
2023-11-18T00:00:00.000Z,0,12.4,0.4,0.3,1.5,2.841,574
2023-11-19T00:00:00.000Z,0.3,8.67,1.2,0.82,1.62,0.996,584
2023-11-20T00:00:00.000Z,0.5,7.5,1.2,0.9,1.42,0.564,576
2023-11-21T00:00:00.000Z,0.2,96.78,0.7,0.5,1.36,7.122,580
2023-11-22T00:00:00.000Z,0.1,9.5,0.36,0.25,0.5,0.537,586
2023-11-23T00:00:00.000Z,0.2,114.7,0.8,0.43,3.2,7.185,587
2023-11-24T00:00:00.000Z,0.1,12.18,0.5,0.3,0.8,0.823,586
2023-11-25T00:00:00.000Z,0,2.7,0.2,0.2,0.3,0.171,583
2023-11-26T00:00:00.000Z,0.1,6.32,0.3,0.2,0.4,0.425,576
2023-11-27T00:00:00.000Z,0,2.58,0.23,0.2,0.37,0.166,585
2023-11-28T00:00:00.000Z,0.1,2.17,0.3,0.2,0.5,0.213,588
2023-11-29T00:00:00.000Z,0.1,95.63,0.4,0.3,0.56,4.035,589
2023-11-30T00:00:00.000Z,0,19.52,0.2,0.2,0.3,0.812,589
2023-12-01T00:00:00.000Z,0.1,18.7,0.3,0.28,0.5,1.21,586
2023-12-02T00:00:00.000Z,0.1,31.02,0.5,0.3,1.3,3.216,525
2023-12-03T00:00:00.000Z,0.1,9.69,0.6,0.44,0.85,0.969,589
2023-12-04T00:00:00.000Z,0.4,6.8,0.7,0.6,0.94,1.127,588
2023-12-05T00:00:00.000Z,0.5,23.7,0.9,0.8,1.2,1.201,578
2023-12-06T00:00:00.000Z,0.6,51.1,1.7,1.4,10.02,7.751,587
2023-12-07T00:00:00.000Z,0.8,6.6,2,1.3,3.9,1.554,590
2023-12-08T00:00:00.000Z,2.4,13.82,5.6,4.8,6.6,1.438,584
2023-12-09T00:00:00.000Z,3.2,229.57,7.37,6.47,8.19,10.234,589
2023-12-10T00:00:00.000Z,1.23,19.27,2.72,2.1,3.17,1.01,591
2023-12-11T00:00:00.000Z,0.2,11.77,0.7,0.53,1.23,1.036,586
2023-12-12T00:00:00.000Z,0.1,28,0.4,0.3,1.8,3.672,587
2023-12-13T00:00:00.000Z,0.2,1.73,0.56,0.4,0.8,0.314,589
2023-12-14T00:00:00.000Z,0.1,4.67,0.4,0.3,0.53,0.463,591
2023-12-15T00:00:00.000Z,0.2,2,0.6,0.47,0.8,0.337,591
2023-12-16T00:00:00.000Z,0.56,40.79,1.8,0.9,4.28,3.6,589
2023-12-17T00:00:00.000Z,0.6,109.25,1.43,1.1,2.12,5.226,589
2023-12-18T00:00:00.000Z,0.1,14.48,0.5,0.4,0.8,0.985,589
2023-12-19T00:00:00.000Z,0,18.13,0.4,0.2,0.76,1.441,584
2023-12-20T00:00:00.000Z,0.1,1.05,0.47,0.32,0.6,0.17,590
2023-12-21T00:00:00.000Z,0.03,1.23,0.56,0.3,0.7,0.252,592
2023-12-22T00:00:00.000Z,0.2,1.7,0.56,0.4,0.9,0.343,360
2023-12-23T00:00:00.000Z,0.1,0.8,0.3,0.3,0.4,0.115,592
2023-12-24T00:00:00.000Z,0,0.95,0.3,0.2,0.5,0.189,583
2023-12-25T00:00:00.000Z,0.5,1.93,1.2,1,1.43,0.288,589
2023-12-26T00:00:00.000Z,0.1,1.3,0.4,0.26,0.6,0.251,485
2023-12-27T00:00:00.000Z,0.47,4,0.97,0.8,1.12,0.39,588
2023-12-28T00:00:00.000Z,0.32,12.82,0.97,0.7,2.12,2.091,584
2023-12-29T00:00:00.000Z,0.4,2.2,1.1,0.9,1.3,0.324,586
2023-12-30T00:00:00.000Z,0.2,121.93,1,0.6,11.84,14.385,585
2023-12-31T00:00:00.000Z,0.5,11.07,1.1,0.83,2.25,1.696,585
2024-01-01T00:00:00.000Z,0.9,655.04,3.6,2.6,25.43,58.254,578
2024-01-02T00:00:00.000Z,0.1,19.42,0.9,0.32,3,4.029,495
2024-01-03T00:00:00.000Z,0,105.68,0.3,0.2,1.32,9.137,576
2024-01-04T00:00:00.000Z,0.03,9.57,0.3,0.2,1.74,2.105,584
2024-01-05T00:00:00.000Z,0.2,9.83,0.5,0.4,0.63,0.478,576
2024-01-06T00:00:00.000Z,0.1,461.2,0.4,0.3,16.53,47.774,588
2024-01-07T00:00:00.000Z,0.3,125.5,1.3,0.8,3.6,7.058,587
2024-01-08T00:00:00.000Z,0.1,7.97,0.6,0.4,1.4,1.241,587
2024-01-09T00:00:00.000Z,0.05,174.95,0.3,0.2,3.9,11.473,591
2024-01-10T00:00:00.000Z,0,55.63,0.59,0.28,1.3,3.146,576
2024-01-11T00:00:00.000Z,0.08,22.8,0.3,0.2,0.77,1.221,591
2024-01-12T00:00:00.000Z,0.1,2.23,0.5,0.4,0.6,0.266,589
2024-01-13T00:00:00.000Z,0,8.93,0.42,0.3,1.77,2.016,584
2024-01-14T00:00:00.000Z,0.3,167.13,1.1,0.77,8.53,21.255,585
2024-01-29T00:00:00.000Z,0.5,105.17,0.9,0.8,1.17,4.901,591
2024-01-30T00:00:00.000Z,0.8,84.38,1.57,1.2,2.33,5.602,589
2024-01-31T00:00:00.000Z,0.2,17.64,0.7,0.52,1.4,1.726,592
2024-02-01T00:00:00.000Z,0.4,105.57,1.4,1.1,1.83,7.319,558
2024-02-02T00:00:00.000Z,0.3,2.23,0.97,0.68,1.3,0.436,545
2024-02-03T00:00:00.000Z,0.5,2.78,1,0.88,1.4,0.47,578
2024-02-04T00:00:00.000Z,0.7,42.13,1.4,1.1,2.2,4.091,575
2024-02-05T00:00:00.000Z,0.35,307.57,0.9,0.7,4.09,17.14,586
2024-02-06T00:00:00.000Z,0,90.4,0.93,0.5,1.92,4.569,588
2024-02-07T00:00:00.000Z,0.1,94.13,0.52,0.3,0.8,4.165,586
2024-02-08T00:00:00.000Z,0.1,114.3,0.4,0.22,3.83,10.553,562
2024-02-09T00:00:00.000Z,0.1,3.13,0.45,0.2,0.73,0.563,581
2024-02-10T00:00:00.000Z,0.13,23.75,1,0.43,2.17,2.17,584
2024-02-11T00:00:00.000Z,0.2,3.87,0.73,0.6,1,0.739,588
2024-02-12T00:00:00.000Z,0,5.18,0.2,0.1,0.4,0.29,585
2024-02-13T00:00:00.000Z,0.1,126.17,0.63,0.4,2.95,8.341,589
2024-02-14T00:00:00.000Z,0.2,8.47,0.6,0.47,0.9,0.578,590
2024-02-15T00:00:00.000Z,0.1,5.93,0.7,0.5,0.99,0.718,573
2024-02-16T00:00:00.000Z,0.03,4,0.4,0.3,0.53,0.291,586
2024-02-17T00:00:00.000Z,0,19.23,0.3,0.2,0.5,1.323,588
2024-02-18T00:00:00.000Z,0.1,17.27,0.43,0.28,2.38,3.096,589
2024-02-19T00:00:00.000Z,0,40.2,0.7,0.2,1,2.236,590
2024-02-20T00:00:00.000Z,0.3,18.73,0.97,0.8,1.5,1.172,590
2024-02-21T00:00:00.000Z,0.2,50.55,0.79,0.5,1.79,5.432,588
2024-02-22T00:00:00.000Z,0,1.6,0.4,0.17,0.8,0.352,589
2024-02-23T00:00:00.000Z,0.05,1.03,0.3,0.2,0.4,0.127,592
2024-02-24T00:00:00.000Z,0.1,8.82,0.4,0.3,0.5,0.508,589
2024-02-25T00:00:00.000Z,0.1,1.4,0.4,0.21,0.8,0.345,588
2024-02-26T00:00:00.000Z,0.1,197.9,1.09,0.6,1.98,12.666,586
2024-02-27T00:00:00.000Z,0,27.52,0.5,0.2,0.93,2.338,587
2024-02-28T00:00:00.000Z,0.1,3.1,0.4,0.3,0.9,0.508,592
2024-02-29T00:00:00.000Z,0.6,16.07,1.33,0.87,2.2,2.999,590
2024-03-01T00:00:00.000Z,2.83,407.13,10.74,4.19,15.02,29.89,532
2024-03-02T00:00:00.000Z,6.2,22.5,9.83,8.63,11.25,2.668,588
2024-03-03T00:00:00.000Z,2.8,8.5,5.5,4.84,6.4,1.108,590
