date,min,max,pm25,q1,q3,stdev,count
2025-03-05T00:00:00.000Z,2.4,3.47,3.09,2.9,3.2,0.225,82
2025-03-06T00:00:00.000Z,2.65,4.28,3.15,3,3.3,0.312,148
2025-03-07T00:00:00.000Z,13.45,31.2,18.85,16.38,22.22,4.099,424
2025-03-08T00:00:00.000Z,5.63,32.79,24.91,19.85,27.28,6.881,568
2025-03-09T00:00:00.000Z,11.52,31.83,20,16.64,22.74,4.73,565
2025-03-10T00:00:00.000Z,13.88,29.55,20.77,17.07,22.67,3.381,559
2025-03-11T00:00:00.000Z,2.35,23.27,13.8,3.59,18.14,6.916,577
2025-03-12T00:00:00.000Z,1.8,13.5,4.2,3.03,5.65,2.14,586
2025-03-13T00:00:00.000Z,3.78,11.82,7.43,5.93,8.4,1.6,368
2025-03-14T00:00:00.000Z,0.93,6.65,2.04,1.73,2.72,1.488,230
2025-03-15T00:00:00.000Z,1.6,1.92,1.7,1.6,1.92,0.134,3
2025-03-18T00:00:00.000Z,1.8,5.6,2.44,2.1,4.34,1.215,68
2025-03-19T00:00:00.000Z,1.9,8.44,3.55,2.9,6.38,1.824,586
2025-03-20T00:00:00.000Z,3.72,16.35,9.74,7.7,11.63,2.674,566
2025-03-21T00:00:00.000Z,0.8,8.88,3.9,1.92,6.88,2.581,591
2025-03-22T00:00:00.000Z,2.47,11.73,6.31,5.09,7.74,1.795,592
2025-03-23T00:00:00.000Z,5.82,12.65,8.31,7.63,8.94,1.096,592
2025-03-24T00:00:00.000Z,7.35,27.27,10.45,9.38,12.6,4.433,591
2025-03-25T00:00:00.000Z,2.4,37.85,18.17,13.23,28.33,8.669,591
2025-03-26T00:00:00.000Z,1.1,5.07,2.4,1.99,2.84,0.664,588
2025-03-27T00:00:00.000Z,1.98,7.13,3.6,2.8,4.59,1.277,223
2025-03-28T00:00:00.000Z,8.6,19.52,13.49,11.98,15.2,2.621,454
2025-03-29T00:00:00.000Z,0.8,22.83,5.39,3.37,14.87,6.467,564
2025-03-30T00:00:00.000Z,1.38,7.53,2.97,2.27,4.03,1.155,345
2025-03-31T00:00:00.000Z,0.93,11.05,2.42,2,4.4,2.053,526
2025-04-01T00:00:00.000Z,0.8,4.22,1.27,1.05,1.7,0.566,203
2025-04-02T00:00:00.000Z,1.1,3.35,1.95,1.74,2.1,0.339,173
2025-04-03T00:00:00.000Z,0.45,6.13,1.3,0.95,1.75,0.726,579
2025-04-04T00:00:00.000Z,0.95,9.55,2.2,1.48,3.96,1.43,584
2025-04-05T00:00:00.000Z,0.3,3.08,0.8,0.63,1,0.301,544
2025-04-06T00:00:00.000Z,0.55,1.83,0.9,0.8,1.1,0.197,343
